계약번호,판매업체,구매업체,제품구분,배터리종류,계약수량(단위당),개당가격,지급형태,총계약금액,계약보증금,계약일,총지급일
20240103001,주식회사디아이씨,(주) 포엔,중고배터리,봉고3,11,"₩10,996,039",일시,"₩120,956,429","₩8,680,326",2024-01-03,2024-02-17
20241211004,한국환경공단,(주)포엔,폐배터리,기타,2,"₩2,865,000",일시,"₩5,730,000","₩286,500",2024. 12. ,2023-04-17
20230728002,(주) 비에이에너지,(주)엠텍정보기술,중고배터리,봉고3,11,"₩10,282,041",선급+잔금,"₩113,102,451","₩7,975,339",2023-07-28,2023-08-06
20240911003,한국환경공단,성일하이텍(주),폐배터리(재활용),SM3,1,"₩251,592",일시,"₩251,592","₩12,580",2024-09-20,2024-10-07
20250424005,(재)제주테크노파크,(주)엔에이치리사이텍컴퍼니,폐배터리(재활용),BlueOn,78,"₩118,731",일시,"₩9,261,000","₩463,050",2025. 4. 2,2025-05-07
20230811003,한국환경공단,(주)솔라라이트,폐배터리(재활용),니로,2,"₩1,280,000",일시,"₩2,560,000","₩128,000",2023-08-22,2022-11-09
20230719002,한국환경공단,성일하이텍(주),폐배터리(재활용),레이,47,"₩59,635",일시,"₩2,802,822","₩140,141",2023-07-19,2025-03-06
20240723001,아이에스동서,(주)비젼알앤이,중고배터리,볼트,18,"₩13,052,964",일시,"₩234,953,352","₩30,835,207",2024-07-23,2024-08-05
20241207002,인선모터스 주식회사,㈜ 에이치엔티,중고배터리,쏘울,11,"₩11,557,025",분할,"₩127,127,275","₩17,747,288",2024-12-07,2025-01-07
20250127001,아이에스동서,원광전력(주),중고배터리,아이오닉,1,"₩18,200,000",선급+잔금,"₩18,200,000","₩2,487,177",2025-01-27,2025-02-21
20250330002,인선모터스 주식회사,한국환경공단,중고배터리,봉고3,3,"₩13,091,643",후불,"₩39,274,929","₩5,793,923",2025-03-30,2025-04-08
20240613002,(주) 아이윈,에너지머티리얼즈 주식회사,중고배터리,스파크,16,"₩10,417,018",일시,"₩166,672,288","₩12,511,974",2024-06-13,2024-07-22
20241207001,아이에스동서,주식회사 알디솔루션,중고배터리,니로,15,"₩4,032,015",선급+잔금,"₩60,480,225","₩8,364,664",2024-12-07,2024-12-23
20250307001,고려아연㈜ 온산제련소,주식회사 삼호인넷,중고배터리,아이오닉,1,"₩598,739",선급+잔금,"₩598,739","₩43,499",2025-03-07,2025-03-28
20230717001,인선모터스 주식회사,사단법인 한국전기차리빌딩협회,중고배터리,SM3,7,"₩9,994,648",분할,"₩69,962,536","₩5,312,542",2023-07-17,2023-07-26
20230605001,(주) 민테크,㈜ 이알,중고배터리,니로,6,"₩13,867,395",분할,"₩83,204,370","₩9,453,703",2023-06-05,2023-06-23
20240416002,주식회사 제이빌텍,신오케미칼(주) 안성공장,중고배터리,레이,19,"₩14,477,982",일시,"₩275,081,658","₩35,173,287",2024-04-16,2024-05-16
20250530002,한국환경공단,(주)솔라라이트,폐배터리(재사용),SM3,1,"₩1,200,000",일시,"₩1,200,000","₩60,000",2025. 6. 4,2022-10-06
20241110001,한국로봇융합연구원,㈜ 엔에이치리사이텍컴퍼니,중고배터리,아이오닉,9,"₩3,729,844",일시,"₩33,568,596","₩4,650,985",2024-11-10,2024-12-20
20250707001,(주)에이텍모빌리티,㈜ 엔에이치리사이텍컴퍼니,중고배터리,E-FIIBIRD,5,"₩7,371,330",일시,"₩36,856,650","₩2,896,011",2025-07-07,2025-08-16
20240711001,한국환경공단,한국화재보험협회 부설 방재시험연구원,폐배터리(재사용),니로,1,"₩4,519,680",일시,"₩4,519,680","₩225,984",2024-07-15,2024-07-26
20231226001,(주)에이프로,(주) 아이윈,중고배터리,쏘울,11,"₩990,990",일시,"₩10,900,890","₩1,357,120",2023-12-26,2024-02-06
20240321001,(주)비엠테크,(재) 제주테크노파크,중고배터리,쏘울,14,"₩14,407,087",일시,"₩201,699,218","₩19,957,490",2024-03-21,2024-05-02
20241005001,고려아연㈜ 온산제련소,(주)비젼알앤이,중고배터리,SM3,1,"₩2,515,978",일시,"₩2,515,978","₩315,310",2024-10-05,2024-11-03
20250604001,㈜ 이알,㈜ 엔에이치리사이텍컴퍼니,중고배터리,레이,2,"₩5,552,452",일시,"₩11,104,904","₩849,208",2025-06-04,2025-06-20
20241204002,굿바이카 주식회사,부경테크,중고배터리,포터,7,"₩6,429,480",선급+잔금,"₩45,006,360","₩3,720,795",2024-12-04,2024-12-28
20250404001,한국로봇융합연구원,한국전지연구조합,중고배터리,리프,6,"₩6,444,162",후불,"₩38,664,972","₩3,113,738",2025-04-04,2025-05-11
20240403001,㈜ 어스앤배터리,부경테크,중고배터리,마프M1,1,"₩6,419,189",일시,"₩6,419,189","₩508,037",2024-04-03,2024-05-10
20250603001,주식회사디아이씨,㈜ 어스앤배터리,중고배터리,아이오닉,9,"₩9,467,932",일시,"₩85,211,388","₩7,894,158",2025-06-03,2025-06-26
20241129001,고려아연㈜ 온산제련소,(주)에이텍모빌리티,중고배터리,포터,17,"₩391,298",일시,"₩6,652,066","₩570,352",2024. 11. ,2024-12-21
20250525001,태산시스템,(주)지에스원,중고배터리,BlueOn,18,"₩18,200,000",분할,"₩327,600,000","₩39,993,104",2025-05-25,2025-07-08
20230613003,한국환경공단,에이프로,폐배터리(재사용),아이오닉,4,"₩5,031,355",일시,"₩20,125,418","₩1,006,271",2023-06-16,2023-01-04
20240707001,성일하이텍(주),(주) 솔라라이트,중고배터리,포터,15,"₩14,892,838",일시,"₩223,392,570","₩26,984,941",2024-07-07,2024-08-12
20240808001,한국환경공단,주식회사이투지,폐배터리(재사용),볼트,2,"₩2,700,001",일시,"₩5,400,002","₩270,000",2024-08-09,2024-08-23
20230122001,성일하이텍(주),인선모터스 주식회사,중고배터리,포터,12,"₩3,626,210",일시,"₩43,514,520","₩4,334,144",2023-01-22,2023-03-02
20230728002,(주) 비에이에너지,(주)엠텍정보기술,중고배터리,볼트,7,"₩1,580,915",선급+잔금,"₩11,066,405","₩1,495,769",2023-07-28,2023-08-06
20240517001,한국환경공단,한국화재보험협회 부설 방재시험연구원,폐배터리(재사용),기타,2,"₩7,000,000",일시,"₩14,000,000","₩700,000",2024-05-22,2024-06-04
20250416001,(주)비젼알앤이,(주) 어스텍,중고배터리,포터,16,"₩8,633,098",분할,"₩138,129,568","₩15,176,181",2025-04-16,2025-05-01
20220328006,한국환경공단,공주대학교,폐배터리,아이오닉,1,"₩2,700,000",일시,"₩2,700,000","₩135,000",2022-04-01,2023-02-09
20250108001,㈜ 에코비트프리텍,부산자동차직업학교,중고배터리,레이,3,"₩427,191",일시,"₩1,281,573","₩140,692",2025-01-08,2025-01-29
20240913001,하나기술,(주) 퀀텀솔루션,중고배터리,봉고3,11,"₩14,327,859",일시,"₩157,606,449","₩17,495,728",2024-09-13,2024-09-29
20240902002,(재)제주테크노파크,주식회사 이알,폐배터리(재활용),SM3,21,"₩190,500",일시,"₩4,000,000","₩200,000",2024-09-11,2024-09-24
20250221004,한국환경공단,(주)비젼알앤이,폐배터리(재활용),CEVO,49,"₩98,653",분할,"₩4,834,000","₩241,700",2025. 2. 2,2025-03-31
20240423001,(주)에이프로,하나기술,중고배터리,포터,19,"₩4,220,637",일시,"₩80,192,103","₩9,209,408",2024-04-23,2024-05-18
20240509013,(재)제주테크노파크,(주)씨알메탈,폐배터리(재활용),볼트,1,"₩810,000",일시,"₩810,000","₩40,500",2024-05-10,2024-05-23
20231010001,고려아연㈜ 온산제련소,(주)지에스원,중고배터리,봉고3,17,"₩984,498",일시,"₩16,736,466","₩1,800,100",2023-10-10,2023-11-19
20221117002,한국환경공단,(주)비엠테크,폐배터리,아이오닉,1,"₩805,000",일시,"₩805,000","₩40,250",2022-11-25,2022-03-08
20220328008,한국환경공단,(주)에이텍모빌리티,폐배터리(재사용),CEVO,1,"₩172,000",일시,"₩172,000","₩8,600",2022-04-01,2025-06-20
20230821001,성일하이텍(주),(주)지에스원,중고배터리,봉고3,4,"₩10,611,055",일시,"₩42,444,220","₩6,018,913",2023-08-21,2023-09-16
20230719001,한국환경공단,(주)비젼알앤이,폐배터리(재활용),CEVO,10,"₩59,000",일시,"₩590,000","₩29,500",2023-07-20,2025-06-19
20240509010,(재)제주테크노파크,(주)씨알메탈,폐배터리(재활용),볼트,1,"₩810,000",일시,"₩810,000","₩40,500",2024-05-10,2024-05-23
20240624001,한국배터리산업협회,태형리싸이클링,중고배터리,코나,6,"₩7,452,128",선급+잔금,"₩44,712,768","₩5,451,261",2024-06-24,2024-07-15
20240504001,엠에이치기술개발,선광엘티아이,중고배터리,니로,2,"₩13,957,089",일시,"₩27,914,178","₩2,043,623",2024-05-04,2024-05-27
20250221006,한국환경공단,(주)민테크,폐배터리,코나,1,"₩2,520,000",일시,"₩2,520,000","₩126,000",2025. 2. 2,2022-03-07
20250221007,한국환경공단,태형리싸이클링,폐배터리,아이오닉,1,"₩730,000",일시,"₩730,000","₩36,500",2025. 2. 2,2022-03-04
20250111001,(재) 제주테크노파크,(주) 포엔,중고배터리,봉고3,14,"₩14,945,317",선급+잔금,"₩209,234,438","₩24,526,964",2025-01-11,2025-01-30
20240630002,고려아연㈜ 온산제련소,주식회사 알디솔루션,중고배터리,니로,5,"₩11,141,305",선급+잔금,"₩55,706,525","₩4,596,055",2024-06-30,2024-08-14
20250610002,주식회사디아이씨,신오케미칼(주) 안성공장,중고배터리,기타,17,"₩11,788,904",분할,"₩200,411,368","₩17,967,595",2025-06-10,2025-07-07
20250308001,아이에스동서,㈜ 에이치엔티,중고배터리,SM3,4,"₩12,721,810",분할,"₩50,887,240","₩5,732,268",2025-03-08,2025-03-23
20231114001,한국환경공단,(주)비젼알앤이,폐배터리(재활용),트위지,10,"₩59,000",일시,"₩590,000","₩29,500",2023-11-15,2025-06-19
20240422001,인선모터스 주식회사,주식회사 인터맥,중고배터리,니로,16,"₩1,458,082",일시,"₩23,329,312","₩2,347,666",2024-04-22,2024-04-27
20250313003,성일하이텍(주),㈜ 엔에이치리사이텍컴퍼니,중고배터리,봉고3,16,"₩10,855,500",일시,"₩173,688,000","₩20,419,040",2025-03-13,2025-04-12
20220812004,한국환경공단,에이프로,폐배터리(재사용),니로,4,"₩5,031,355",일시,"₩20,125,418","₩1,006,271",2022-08-23,2023-01-04
20240320002,한국환경공단,주식회사 알디솔루션,폐배터리(재활용),아이오닉,3,"₩301,000",일시,"₩903,000","₩45,150",2024-03-25,2024-04-05
20240209003,주식회사디아이씨,주식회사 에코프로씨엔,중고배터리,레이,15,"₩10,957,346",분할,"₩164,360,190","₩19,075,073",2024-02-09,2024-02-28
20240620002,주식회사 알디솔루션,부산자동차직업학교,중고배터리,니로,2,"₩12,374,158",후불,"₩24,748,316","₩1,824,865",2024-06-20,2024-07-09
20240510001,(주) 포엔,주식회사 시너지,중고배터리,코나,19,"₩6,943,659",일시,"₩131,929,521","₩13,262,928",2024-05-10,2024-05-21
20250524001,(주) 아이윈,(주)지에스원,중고배터리,볼트,5,"₩2,949,742",일시,"₩14,748,710","₩2,005,324",2025-05-24,2025-06-15
20250503001,(주) 비에이에너지,굿바이카 주식회사,중고배터리,쏘울,2,"₩9,075,921",일시,"₩18,151,842","₩2,701,681",2025-05-03,2025-06-03
20241024001,한국환경공단,(주)포엔,폐배터리(재사용),포터,2,"₩2,850,000",일시,"₩5,700,000","₩285,000",2024. 10. ,2023-06-29
20230210003,한국환경공단,태형리싸이클링,폐배터리,SM3,6,"₩233,833",일시,"₩1,403,000","₩70,150",2023-02-17,2022-07-05
20250114005,한국환경공단,(주)금일,폐배터리(재활용),레이,5,"₩241,500",일시,"₩1,207,500","₩60,375",2025. 1. 1,2023-08-01
20240327002,주식회사 알오씨오토시스템,굿바이카 주식회사,중고배터리,레이,13,"₩1,894,193",후불,"₩24,624,509","₩3,244,921",2024-03-27,2024-05-08
20241211002,한국환경공단,(주)엠텍정보기술,폐배터리(재활용),코나,2,"₩2,700,000",일시,"₩5,400,000","₩270,000",2024. 12. ,2025-03-05
20231028001,고려아연㈜ 온산제련소,디에이팩토리,중고배터리,봉고3,7,"₩11,522,381",분할,"₩80,656,667","₩10,753,080",2023-10-28,2023-11-14
20250407001,(주)에이텍모빌리티,주식회사 에코프로씨엔,중고배터리,니로,4,"₩4,030,634",분할,"₩16,122,536","₩1,252,999",2025-04-07,2025-04-23
20250901002,주식회사디아이씨,굿바이카(주),중고배터리,리프,19,"₩987,022",일시,"₩18,753,418","₩2,048,336",2025-09-01,2025-09-07
20241014001,(주)에이프로,(주)한국파워셀,중고배터리,봉고3,9,"₩9,588,891",일시,"₩86,300,019","₩11,159,018",2024-10-14,2024-11-20
20230314001,한국환경공단,(주)비에이에너지,폐배터리,코나,3,"₩8,213,635",일시,"₩24,640,906","₩1,232,046",2023-03-21,2023-05-02
20240509012,(재)제주테크노파크,(주)씨알메탈,폐배터리(재활용),볼트,1,"₩810,000",일시,"₩810,000","₩40,500",2024-05-10,2024-05-23
20240515001,사단법인 한국전기차리빌딩협회,태산시스템,중고배터리,아이오닉,8,"₩3,178,850",일시,"₩25,430,800","₩3,150,578",2024-05-15,2024-06-19
20240204001,고려아연㈜ 온산제련소,(주) 민테크,중고배터리,봉고3,4,"₩9,014,050",분할,"₩36,056,200","₩4,796,830",2024-02-04,2024-03-13
20250206001,주식회사 제이빌텍,굿바이카 주식회사,중고배터리,니로,14,"₩8,832,630",분할,"₩123,656,820","₩11,035,797",2025-02-06,2025-02-25
20230112001,인선모터스 주식회사,㈜ 이알,중고배터리,볼트,5,"₩7,106,659",일시,"₩35,533,295","₩3,014,637",2023-01-12,2023-02-12
20231214002,한국환경공단,태형리싸이클링,폐배터리(재활용),SM3,2,"₩583,000",일시,"₩1,166,000","₩58,300",2023-12-20,2023-06-26
20250314001,아이에스동서,굿바이카 주식회사,중고배터리,SM3,17,"₩1,106,905",일시,"₩18,817,385","₩2,394,260",2025-03-14,2025-04-18
20240716001,한국환경공단,부경테크,폐배터리(재사용),기타,4,"₩219,750",일시,"₩879,000","₩43,950",2024-07-16,2024-07-29
20240203001,고려아연㈜ 온산제련소,한국전지연구조합,중고배터리,D2,13,"₩247,594",일시,"₩3,218,722","₩377,776",2024-02-03,2024-03-15
20230720001,한국환경공단,(주)민테크,폐배터리(재사용),레이,1,"₩4,251,890",일시,"₩4,251,890","₩212,595",2023-07-24,2022-12-08
20240809003,한국환경공단,주식회사 알오씨오토시스템,폐배터리(재사용),쏘울,5,"₩478,000",일시,"₩2,390,000","₩119,500",2024-08-12,2024-08-26
20250530001,한국환경공단,㈜ 에이치엔티,중고배터리,봉고3,9,"₩1,566,575",일시,"₩14,099,175","₩2,067,546",2025. 6. 5,2025-06-08
20221208005,한국환경공단,주식회사이투지,폐배터리(재사용),기타,4,"₩2,036,500",일시,"₩8,146,000","₩407,300",2022-12-16,2023-08-01
20230613002,한국환경공단,신오케미칼(주)안성공장,폐배터리(재활용),코나,1,"₩576,000",일시,"₩576,000","₩28,800",2023-06-16,2024-10-31
20250505002,(주)에이텍모빌리티,한국화재보험협회 부설 방재시험연구원,중고배터리,코나,20,"₩11,663,954",분할,"₩233,279,080","₩29,413,300",2025-05-05,2025-05-12
20231109001,한국환경공단,성일하이텍(주),폐배터리(재활용),봉고3,2,"₩496,250",일시,"₩992,500","₩49,625",2023-11-10,2023-06-29
20230914002,한국환경공단,(주)민테크,폐배터리(재활용),코나,1,"₩2,855,400",일시,"₩2,855,400","₩142,770",2023-09-19,2023-04-07
20250114002,한국환경공단,성일하이텍(주),폐배터리(외관결함),기타,3,"₩2,200,732",일시,"₩6,602,200","₩330,110",2025. 1. 1,2024-08-31
20240922001,한국화학융합시험연구원,(주) 어스텍,중고배터리,스파크,6,"₩965,692",선급+잔금,"₩5,794,152","₩737,193",2024-09-22,2024-09-27
20250221002,한국환경공단,우성연합주식회사,폐배터리(재활용),SM3,3,"₩216,667",일시,"₩650,000","₩32,500",2025. 2. 2,2024-11-25
20230122001,성일하이텍(주),인선모터스 주식회사,중고배터리,니로,6,"₩4,787,451",일시,"₩28,724,706","₩3,008,531",2023-01-22,2023-03-02
20230313003,한국환경공단,주식회사 에코프로씨엔지,폐배터리(재활용),코나,2,"₩640,000",분할,"₩1,280,000","₩64,000",2023-03-21,2024-12-31
20250317002,(주)에이텍모빌리티,주식회사 비텍스,중고배터리,기타,14,"₩4,316,745",일시,"₩60,434,430","₩5,520,697",2025-03-17,2025-04-10
20250522002,인선모터스 주식회사,(주)한국파워셀,중고배터리,코나,9,"₩3,705,489",선급+잔금,"₩33,349,401","₩4,021,037",2025-05-22,2025-06-03
20230609002,한국환경공단,주식회사이브이씨씨,폐배터리(재활용),니로,13,"₩3,000,000",일시,"₩39,000,000","₩1,950,000",2023-06-09,2023-11-27
20240909011,성일하이텍(주),주식회사 인터맥,중고배터리,봉고3,4,"₩3,319,944",분할,"₩13,279,776","₩1,408,576",2024-09-09,2024-09-26
20250114001,(주) 민테크,주식회사 에코프로씨엔,중고배터리,코나,4,"₩13,341,888",선급+잔금,"₩53,367,552","₩5,479,869",2025. 1. 1,2025-01-19
20241118001,고려아연㈜ 온산제련소,한국전지산업협회,중고배터리,볼트,5,"₩9,846,658",선급+잔금,"₩49,233,290","₩6,520,689",2024-11-18,2024-12-28
20250526002,인선모터스 주식회사,(주)비젼알앤이,중고배터리,코나,16,"₩5,783,633",일시,"₩92,538,128","₩11,954,586",2025-05-26,2025-06-04
20240517004,한국환경공단,주식회사이브이씨씨,폐배터리(재활용),모델3,3,"₩2,633,333",일시,"₩7,900,000","₩395,000",2024-05-21,2024-06-03
20251013001,성일하이텍(주),굿바이카(주),중고배터리,쏘울,15,"₩579,699",일시,"₩8,695,485","₩1,283,874",2025-10-13,2025-11-15
20240109003,하나기술,주식회사 제이빌텍,중고배터리,포터,20,"₩4,283,531",일시,"₩85,670,620","₩6,996,857",2024-01-09,2024-02-08
20240203001,고려아연㈜ 온산제련소,한국전지연구조합,중고배터리,레이,5,"₩6,391,843",일시,"₩31,959,215","₩4,426,058",2024-02-03,2024-03-15
20240418004,한국환경공단,한국로봇융합연구원,폐배터리(재활용),포터,1,"₩1,000,000",일시,"₩1,000,000","₩50,000",2024-04-24,2024-05-08
20250610001,(주) 비에이에너지,주식회사디아이씨,중고배터리,코나,14,"₩8,931,118",선급+잔금,"₩125,035,652","₩13,809,470",2025-06-10,2025-07-01
20240302001,(주)지에스원,주식회사 이브이씨씨,중고배터리,아이오닉,20,"₩18,200,000",일시,"₩364,000,000","₩49,194,392",2024-03-02,2024-03-25
20241207001,아이에스동서,주식회사 알디솔루션,중고배터리,마프M1,15,"₩7,845,094",선급+잔금,"₩117,676,410","₩15,531,686",2024-12-07,2024-12-23
20241212001,한국환경공단,한국전지산업협회,폐배터리(재사용),니로,1,"₩6,390,000",일시,"₩6,390,000","₩319,500",2024. 11. ,2022-11-14
20241031004,한국환경공단,(주)비젼알앤이,폐배터리,기타,4652,₩935,분할,"₩4,349,660","₩217,483",2024. 9. 1,2025-01-31
20250218003,한국환경공단,성일하이텍(주),폐배터리(외관결함),기타,3,"₩2,200,734",일시,"₩6,602,200","₩330,110",2025. 2. 2,2024-08-31
20240129002,㈜ 이알,㈜ 엔에이치리사이텍컴퍼니,중고배터리,니로,3,"₩13,341,149",일시,"₩40,023,447","₩2,906,235",2024-01-29,2024-02-18
20220314008,한국환경공단,한국전지산업협회,폐배터리,아이오닉,1,"₩700,000",분할,"₩700,000","₩35,000",2022-03-17,2022-05-20
20250123001,사단법인 한국전기차리빌딩협회,한국환경공단,중고배터리,트위지,8,"₩10,366,633",일시,"₩82,933,064","₩11,050,732",2025-01-23,2025-03-05
20240128001,(주)엠텍정보기술,주식회사 에코프로씨엔,중고배터리,쏘울,12,"₩697,021",분할,"₩8,364,252","₩1,133,713",2024-01-28,2024-02-08
20240702001,(주) 아이윈,부경테크,중고배터리,아이오닉,9,"₩13,100,687",선급+잔금,"₩117,906,183","₩13,869,264",2024-07-02,2024-07-16
