제작사,제원관리번호,차명,연식,제작일자,셀 간 균형,평균전압_OCV_meas,SOC_calc,사용연수(t),캘린더 열화(△Q_cal),사이클 열화(△Q_cyc),SoH_pred(%),취득원가,연간감가비,조정연간감가비,중고거래가격
기아 주식회사,A0110007300031221,EV6,2022,2021-11-25,심각,4.1085,95.33009137,3.647222222,0.038195404,0.117790325,75.6104,"₩25,400,000 ","₩4,631,972 ","₩6,126,105 ","₩19,273,895 "
기아 주식회사,A0110007300061221,EV6,2022,2021-08-25,정상,4.1,95.08115266,3.897222222,0.039482767,0.116340501,76.7896,"₩25,400,000 ","₩4,949,472 ","₩6,445,498 ","₩18,954,502 "
기아 주식회사,A0110007300061221,EV6,2022,2021-07-27,우수,4.1,95.08115266,3.975,0.039874804,0.099304788,71.3148,"₩25,400,000 ","₩5,048,250 ","₩7,078,825 ","₩18,321,175 "
기아 주식회사,A0110007300031221,EV6,2022,2021-10-29,우수,4.1,95.08115266,3.719444444,0.038571723,0.074360637,64.1941,"₩25,400,000 ","₩4,723,694 ","₩7,358,456 ","₩18,041,544 "
기아 주식회사,A0110007300131221,EV6,2022,2021-11-04,정상,4.1,95.08115266,3.705555556,0.038499639,0.053407183,98.192,"₩25,400,000 ","₩4,706,056 ","₩4,792,708 ","₩20,607,292 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-21,경고,4.1,95.08115266,3.741666667,0.038686776,0.062499362,52.3788,"₩25,400,000 ","₩4,751,917 ","₩9,072,214 ","₩16,327,786 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-05,정상,4.1,95.08115266,3.702777778,0.038485206,0.092993247,63.4864,"₩25,400,000 ","₩4,702,528 ","₩7,407,142 ","₩17,992,858 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-02,우수,4.1,95.08115266,3.627777778,0.038093452,0.050303191,89.9175,"₩25,400,000 ","₩4,607,278 ","₩5,123,894 ","₩20,276,106 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-29,정상,4.1,95.08115266,3.719444444,0.038571723,0.112049097,97.9667,"₩25,400,000 ","₩4,723,694 ","₩4,821,735 ","₩20,578,265 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-04,심각,4.1,95.08115266,3.705555556,0.038499639,0.126370568,53.7594,"₩25,400,000 ","₩4,706,056 ","₩8,753,921 ","₩16,646,079 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-11,정상,4.1,95.08115266,3.602777778,0.037961969,0.061079276,79.7991,"₩25,400,000 ","₩4,575,528 ","₩5,733,809 ","₩19,666,191 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,경고,4.1,95.08115266,3.711111111,0.038528489,0.115950069,93.5394,"₩25,400,000 ","₩4,713,111 ","₩5,038,637 ","₩20,361,363 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,우수,4.1,95.08115266,3.711111111,0.038528489,0.072455392,94.3709,"₩25,400,000 ","₩4,713,111 ","₩4,994,242 ","₩20,405,758 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-23,경고,4.102666667,95.15925108,3.652777778,0.038224483,0.118503826,59.8429,"₩25,400,000 ","₩4,639,028 ","₩7,752,010 ","₩17,647,990 "
기아 주식회사,A0110007300251221,EV6,2022,2021-12-02,심각,4.098333333,95.03234115,3.627777778,0.038093452,0.069084906,51.8635,"₩25,400,000 ","₩4,607,278 ","₩8,883,469 ","₩16,516,531 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-28,정상,4.0975,95.00793539,3.555555556,0.037712362,0.058294632,60.6424,"₩25,400,000 ","₩4,515,556 ","₩7,446,202 ","₩17,953,798 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-29,정상,4.114333333,95.50452433,3.552777778,0.037697627,0.065749502,70.4389,"₩25,400,000 ","₩4,512,028 ","₩6,405,591 ","₩18,994,409 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-19,우수,4.061,93.96039771,3.747222222,0.038715486,0.036884203,68.6634,"₩25,400,000 ","₩4,758,972 ","₩6,930,872 ","₩18,469,128 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-04,심각,4.0745,94.33433654,3.705555556,0.038499639,0.068617818,60.395,"₩25,400,000 ","₩4,706,056 ","₩7,792,128 ","₩17,607,872 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-15,정상,4.076166667,94.38314805,3.591666667,0.037903386,0.072007464,80.1791,"₩25,400,000 ","₩4,561,417 ","₩5,689,035 ","₩19,710,965 "
기아 주식회사,A0110007300131221,EV6,2022,2021-10-22,정상,4.080833333,94.51982028,3.738888889,0.038672413,0.111006925,62.9482,"₩25,400,000 ","₩4,748,389 ","₩7,543,328 ","₩17,856,672 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,경고,4.080333333,94.50517683,3.577777778,0.037830029,0.066144676,90.546,"₩25,400,000 ","₩4,543,778 ","₩5,018,198 ","₩20,381,802 "
기아 주식회사,A0110007300251221,EV6,2022,2021-11-22,경고,4.08,94.49541453,3.655555556,0.038239014,0.045183301,92.2694,"₩25,400,000 ","₩4,642,556 ","₩5,031,522 ","₩20,368,478 "
기아 주식회사,A0110007300111221,EV6,2022,2021-09-14,심각,4.08,94.49541453,3.844444444,0.03921451,0.049287974,54.4158,"₩25,400,000 ","₩4,882,444 ","₩8,972,476 ","₩16,427,524 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,심각,4.08,94.49541453,3.711111111,0.038528489,0.068611648,57.632,"₩25,400,000 ","₩4,713,111 ","₩8,177,941 ","₩17,222,059 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-24,경고,4.08,94.49541453,3.65,0.038209946,0.104753861,60.3005,"₩25,400,000 ","₩4,635,500 ","₩7,687,333 ","₩17,712,667 "
기아 주식회사,A0110007300181221,EV6,2022,2021-11-15,경고,4.08,94.49541453,3.675,0.038340579,0.119538113,53.3175,"₩25,400,000 ","₩4,667,250 ","₩8,753,693 ","₩16,646,307 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-20,우수,4.08,94.49541453,3.744444444,0.038701134,0.06329544,96.895,"₩25,400,000 ","₩4,755,444 ","₩4,907,833 ","₩20,492,167 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-15,정상,4.08,94.49541453,3.591666667,0.037903386,0.078992548,91.2512,"₩25,400,000 ","₩4,561,417 ","₩4,998,747 ","₩20,401,253 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-08,정상,4.08,94.49541453,3.694444444,0.038441875,0.111363043,76.4022,"₩25,400,000 ","₩4,691,944 ","₩6,141,112 ","₩19,258,888 "
기아 주식회사,A0110007300181221,EV6,2022,2021-11-02,경고,4.08,94.49541453,3.711111111,0.038528489,0.139476235,93.0614,"₩25,400,000 ","₩4,713,111 ","₩5,064,518 ","₩20,335,482 "
기아 주식회사,A0110007300201221,EV6,2022,2021-11-15,경고,4.08,94.49541453,3.675,0.038340579,0.120503428,97.4088,"₩25,400,000 ","₩4,667,250 ","₩4,791,405 ","₩20,608,595 "
기아 주식회사,A0110007300251221,EV6,2022,2021-12-02,우수,4.08,94.49541453,3.627777778,0.038093452,0.070483572,94.9471,"₩25,400,000 ","₩4,607,278 ","₩4,852,468 ","₩20,547,532 "
기아 주식회사,A0110007300251221,EV6,2022,2021-12-02,우수,4.08,94.49541453,3.627777778,0.038093452,0.067069042,83.1872,"₩25,400,000 ","₩4,607,278 ","₩5,538,446 ","₩19,861,554 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-01,정상,4.08,94.49541453,3.713888889,0.038542905,0.123315243,88.2256,"₩25,400,000 ","₩4,716,639 ","₩5,346,111 ","₩20,053,889 "
기아 주식회사,A0110007300181221,EV6,2022,2021-11-15,심각,4.08,94.49541453,3.675,0.038340579,0.065146169,74.2921,"₩25,400,000 ","₩4,667,250 ","₩6,282,297 ","₩19,117,703 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-11,심각,4.08,94.49541453,3.602777778,0.037961969,0.042210463,77.4349,"₩25,400,000 ","₩4,575,528 ","₩5,908,870 ","₩19,491,130 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-24,우수,4.08,94.49541453,3.65,0.038209946,0.105618808,83.2147,"₩25,400,000 ","₩4,635,500 ","₩5,570,530 ","₩19,829,470 "
기아 주식회사,A0110007300251221,EV6,2022,2021-12-02,정상,4.08,94.49541453,3.627777778,0.038093452,0.070006738,71.3044,"₩25,400,000 ","₩4,607,278 ","₩6,461,421 ","₩18,938,579 "
기아 주식회사,A0110007300181221,EV6,2022,2021-11-24,정상,4.08,94.49541453,3.65,0.038209946,0.098014632,68.212,"₩25,400,000 ","₩4,635,500 ","₩6,795,725 ","₩18,604,275 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,심각,4.08,94.49541453,3.711111111,0.038528489,0.074301409,86.6354,"₩25,400,000 ","₩4,713,111 ","₩5,440,168 ","₩19,959,832 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,심각,4.0855,94.65649251,3.711111111,0.038528489,0.057507806,51.9015,"₩25,400,000 ","₩4,713,111 ","₩9,080,876 ","₩16,319,124 "
기아 주식회사,A0110007300251221,EV6,2022,2021-11-25,경고,4.092333333,94.85661971,3.647222222,0.038195404,0.137050303,56.8459,"₩25,400,000 ","₩4,631,972 ","₩8,148,296 ","₩17,251,704 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-14,정상,4.086,94.67113597,3.594444444,0.03791804,0.053493728,77.3016,"₩25,400,000 ","₩4,564,944 ","₩5,905,369 ","₩19,494,631 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,경고,4.081666667,94.54422604,3.577777778,0.037830029,0.048812378,97.6291,"₩25,400,000 ","₩4,543,778 ","₩4,654,122 ","₩20,745,878 "
기아 주식회사,A0110007300031221,EV6,2022,2022-01-04,심각,4.055,93.7962,3.538888889,0.037623869,0.080384467,71.0035,"₩25,400,000 ","₩4,494,389 ","₩6,329,813 ","₩19,070,187 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-13,우수,4.0545,93.78251686,3.597222222,0.037932689,0.058979794,72.587,"₩25,400,000 ","₩4,568,472 ","₩6,293,788 ","₩19,106,212 "
기아 주식회사,A0110007300081221,EV6,2022,2021-11-18,심각,4.059166667,93.91022618,3.666666667,0.038297084,0.090452842,91.7472,"₩25,400,000 ","₩4,656,667 ","₩5,075,541 ","₩20,324,459 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-14,우수,4.0535,93.75515057,3.594444444,0.03791804,0.040671159,82.8083,"₩25,400,000 ","₩4,564,944 ","₩5,512,665 ","₩19,887,335 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-21,경고,4.062333333,93.99688609,3.575,0.037815341,0.054599672,87.6107,"₩25,400,000 ","₩4,540,250 ","₩5,182,301 ","₩20,217,699 "
기아 주식회사,A0110007300031221,EV6,2022,2021-10-26,경고,4.06,93.93303142,3.727777778,0.038614908,0.115858171,77.2126,"₩25,400,000 ","₩4,734,278 ","₩6,131,483 ","₩19,268,517 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-16,경고,4.06,93.93303142,3.672222222,0.038326086,0.12439683,91.7524,"₩25,400,000 ","₩4,663,722 ","₩5,082,943 ","₩20,317,057 "
기아 주식회사,A0110007300071221,EV6,2022,2021-11-10,우수,4.06,93.93303142,3.688888889,0.038412961,0.089856209,98.306,"₩25,400,000 ","₩4,684,889 ","₩4,765,618 ","₩20,634,382 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-09,심각,4.06,93.93303142,3.608333333,0.037991227,0.057867124,97.9456,"₩25,400,000 ","₩4,582,583 ","₩4,678,703 ","₩20,721,297 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,4.06,93.93303142,3.577777778,0.037830029,0.09552099,94.2657,"₩25,400,000 ","₩4,543,778 ","₩4,820,181 ","₩20,579,819 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-04,정상,4.06,93.93303142,3.705555556,0.038499639,0.116418591,77.1584,"₩25,400,000 ","₩4,706,056 ","₩6,099,214 ","₩19,300,786 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,심각,4.06,93.93303142,3.577777778,0.037830029,0.059990115,78.7748,"₩25,400,000 ","₩4,543,778 ","₩5,768,060 ","₩19,631,940 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,심각,4.06,93.93303142,3.577777778,0.037830029,0.111785819,92.7899,"₩25,400,000 ","₩4,543,778 ","₩4,896,845 ","₩20,503,155 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-14,경고,4.06,93.93303142,3.594444444,0.03791804,0.089382425,81.6413,"₩25,400,000 ","₩4,564,944 ","₩5,591,465 ","₩19,808,535 "
기아 주식회사,A0110007300081221,EV6,2022,2021-10-20,우수,4.06,93.93303142,3.744444444,0.038701134,0.103918634,96.9034,"₩25,400,000 ","₩4,755,444 ","₩4,907,407 ","₩20,492,593 "
기아 주식회사,A0110007300251221,EV6,2022,2021-11-19,우수,4.06,93.93303142,3.663888889,0.038282575,0.054984979,90.527,"₩25,400,000 ","₩4,653,139 ","₩5,140,056 ","₩20,259,944 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-13,우수,4.057833333,93.8737378,3.597222222,0.037932689,0.062532188,72.9518,"₩25,400,000 ","₩4,568,472 ","₩6,262,316 ","₩19,137,684 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-01,정상,4.058333333,93.88742095,3.713888889,0.038542905,0.062153168,85.5144,"₩25,400,000 ","₩4,716,639 ","₩5,515,608 ","₩19,884,392 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-04,경고,4.0575,93.86461571,3.705555556,0.038499639,0.060081169,68.3961,"₩25,400,000 ","₩4,706,056 ","₩6,880,590 ","₩18,519,410 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,정상,4.059833333,93.92847037,3.711111111,0.038528489,0.019884154,66.4574,"₩25,400,000 ","₩4,713,111 ","₩7,091,928 ","₩18,308,072 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-13,우수,4.057,93.85093257,3.597222222,0.037932689,0.053107655,99.5505,"₩25,400,000 ","₩4,568,472 ","₩4,589,100 ","₩20,810,900 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-27,정상,4.070666667,94.22493846,3.558333333,0.03772709,0.075156065,97.1042,"₩25,400,000 ","₩4,519,083 ","₩4,653,850 ","₩20,746,150 "
기아 주식회사,A0110007300081221,EV6,2022,2021-10-05,우수,4.071,94.23406055,3.786111111,0.038915864,0.055960795,80.4195,"₩25,400,000 ","₩4,808,361 ","₩5,979,098 ","₩19,420,902 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-28,정상,4.076166667,94.38314805,3.555555556,0.037712362,0.049410955,73.0254,"₩25,400,000 ","₩4,515,556 ","₩6,183,541 ","₩19,216,459 "
기아 주식회사,A0110007300201221,EV6,2022,2021-11-15,심각,4.039833333,93.38114468,3.675,0.038340579,0.126460891,97.0343,"₩25,400,000 ","₩4,667,250 ","₩4,809,897 ","₩20,590,103 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,우수,4.04,93.38570573,3.711111111,0.038528489,0.066429584,79.2881,"₩25,400,000 ","₩4,713,111 ","₩5,944,286 ","₩19,455,714 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-16,경고,4.04,93.38570573,3.588888889,0.037888726,0.067991975,66.4108,"₩25,400,000 ","₩4,557,889 ","₩6,863,174 ","₩18,536,826 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-08,정상,4.04,93.38570573,3.694444444,0.038441875,0.058797035,68.7239,"₩25,400,000 ","₩4,691,944 ","₩6,827,238 ","₩18,572,762 "
기아 주식회사,A0110007300251221,EV6,2022,2021-11-19,정상,4.04,93.38570573,3.663888889,0.038282575,0.06735524,68.8899,"₩25,400,000 ","₩4,653,139 ","₩6,754,457 ","₩18,645,543 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-04,우수,4.04,93.38570573,3.705555556,0.038499639,0.030979845,68.1628,"₩25,400,000 ","₩4,706,056 ","₩6,904,141 ","₩18,495,859 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,4.04,93.38570573,3.577777778,0.037830029,0.064640263,78.1194,"₩25,400,000 ","₩4,543,778 ","₩5,816,452 ","₩19,583,548 "
기아 주식회사,A0110007300041221,EV6,2022,2021-11-24,우수,4.04,93.38570573,3.65,0.038209946,0.111216104,75.8781,"₩25,400,000 ","₩4,635,500 ","₩6,109,141 ","₩19,290,859 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-15,경고,4.041666667,93.4313162,3.591666667,0.037903386,0.055364935,56.1989,"₩25,400,000 ","₩4,561,417 ","₩8,116,559 ","₩17,283,441 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-22,정상,4.0535,93.75515057,3.655555556,0.038239014,0.05151249,56.6981,"₩25,400,000 ","₩4,642,556 ","₩8,188,203 ","₩17,211,797 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-09,경고,4.056,93.82356628,3.608333333,0.037991227,0.067047896,59.5852,"₩25,400,000 ","₩4,582,583 ","₩7,690,808 ","₩17,709,192 "
기아 주식회사,A0110007300131221,EV6,2022,2021-11-19,정상,4.0255,92.98606286,3.663888889,0.038282575,0.047846881,85.8748,"₩25,400,000 ","₩4,653,139 ","₩5,418,515 ","₩19,981,485 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-16,경고,4.019833333,92.82650273,3.588888889,0.037888726,0.080173996,66.2361,"₩25,400,000 ","₩4,557,889 ","₩6,881,276 ","₩18,518,724 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,정상,4.019833333,92.82650273,3.577777778,0.037830029,0.049947572,54.8723,"₩25,400,000 ","₩4,543,778 ","₩8,280,640 ","₩17,119,360 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-22,경고,4.02,92.83119567,3.655555556,0.038239014,0.051964018,93.7083,"₩25,400,000 ","₩4,642,556 ","₩4,954,263 ","₩20,445,737 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-01,경고,4.02,92.83119567,3.713888889,0.038542905,0.068307308,92.0498,"₩25,400,000 ","₩4,716,639 ","₩5,124,008 ","₩20,275,992 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,우수,4.02,92.83119567,3.711111111,0.038528489,0.08235264,76.4526,"₩25,400,000 ","₩4,713,111 ","₩6,164,749 ","₩19,235,251 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-14,경고,4.02,92.83119567,3.594444444,0.03791804,0.048725222,57.8508,"₩25,400,000 ","₩4,564,944 ","₩7,890,893 ","₩17,509,107 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-01,우수,4.02,92.83119567,3.713888889,0.038542905,0.115023973,68.2667,"₩25,400,000 ","₩4,716,639 ","₩6,909,136 ","₩18,490,864 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-29,우수,4.02,92.83119567,3.719444444,0.038571723,0.112970936,59.751,"₩25,400,000 ","₩4,723,694 ","₩7,905,632 ","₩17,494,368 "
기아 주식회사,A0110007300051221,EV6,2022,2021-11-17,정상,4.02,92.83119567,3.669444444,0.038311588,0.108881768,83.9021,"₩25,400,000 ","₩4,660,194 ","₩5,554,324 ","₩19,845,676 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,4.02,92.83119567,3.577777778,0.037830029,0.060743607,51.6563,"₩25,400,000 ","₩4,543,778 ","₩8,796,174 ","₩16,603,826 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-04,정상,4.02,92.83119567,3.705555556,0.038499639,0.13912026,57.1506,"₩25,400,000 ","₩4,706,056 ","₩8,234,481 ","₩17,165,519 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-21,경고,4.02,92.83119567,3.575,0.037815341,0.079241548,73.7728,"₩25,400,000 ","₩4,540,250 ","₩6,154,369 ","₩19,245,631 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-21,정상,4.02,92.83119567,3.575,0.037815341,0.07154867,78.8828,"₩25,400,000 ","₩4,540,250 ","₩5,755,691 ","₩19,644,309 "
기아 주식회사,A0110007300071221,EV6,2022,2021-11-12,정상,4.02,92.83119567,3.683333333,0.038384024,0.11886298,91.6164,"₩25,400,000 ","₩4,677,833 ","₩5,105,891 ","₩20,294,109 "
기아 주식회사,A0110007300181221,EV6,2022,2021-12-13,심각,4.02,92.83119567,3.597222222,0.037932689,0.055782128,88.4553,"₩25,400,000 ","₩4,568,472 ","₩5,164,724 ","₩20,235,276 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-20,우수,4.016833333,92.74202971,3.744444444,0.038701134,0.061782527,97.8905,"₩25,400,000 ","₩4,755,444 ","₩4,857,922 ","₩20,542,078 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-13,정상,4.0245,92.95790519,3.597222222,0.037932689,0.037646589,54.4549,"₩25,400,000 ","₩4,568,472 ","₩8,389,460 ","₩17,010,540 "
기아 주식회사,A0110007300181221,EV6,2022,2021-11-15,경고,3.8915,89.11543421,3.675,0.038340579,0.130749107,81.0223,"₩25,400,000 ","₩4,667,250 ","₩5,760,451 ","₩19,639,549 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-15,정상,3.913166667,89.76093346,3.591666667,0.037903386,0.041025363,67.8875,"₩25,400,000 ","₩4,561,417 ","₩6,719,082 ","₩18,680,918 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-11,심각,3.892666667,89.15066185,3.602777778,0.037961969,0.08458076,96.1605,"₩25,400,000 ","₩4,575,528 ","₩4,758,220 ","₩20,641,780 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-20,정상,3.895,89.22111712,3.744444444,0.038701134,0.063777672,85.0005,"₩25,400,000 ","₩4,755,444 ","₩5,594,608 ","₩19,805,392 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-12,정상,3.903833333,89.48784064,3.766666667,0.038815804,0.072543864,67.6813,"₩25,400,000 ","₩4,783,667 ","₩7,067,930 ","₩18,332,070 "
기아 주식회사,A0110007300201221,EV6,2022,2021-11-30,우수,3.9,89.37209269,3.633333333,0.038122609,0.111443441,96.3114,"₩25,400,000 ","₩4,614,333 ","₩4,791,056 ","₩20,608,944 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,정상,3.9,89.37209269,3.577777778,0.037830029,0.043270034,88.5849,"₩25,400,000 ","₩4,543,778 ","₩5,129,292 ","₩20,270,708 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-15,심각,3.9,89.37209269,3.591666667,0.037903386,0.072311005,94.794,"₩25,400,000 ","₩4,561,417 ","₩4,811,926 ","₩20,588,074 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-21,정상,3.9,89.37209269,3.575,0.037815341,0.025862109,88.7562,"₩25,400,000 ","₩4,540,250 ","₩5,115,417 ","₩20,284,583 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-17,심각,3.9,89.37209269,3.669444444,0.038311588,0.056332827,84.508,"₩25,400,000 ","₩4,660,194 ","₩5,514,501 ","₩19,885,499 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-16,우수,3.9,89.37209269,3.672222222,0.038326086,0.16337682,87.6759,"₩25,400,000 ","₩4,663,722 ","₩5,319,275 ","₩20,080,725 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,심각,3.9,89.37209269,3.577777778,0.037830029,0.131664253,92.979,"₩25,400,000 ","₩4,543,778 ","₩4,886,886 ","₩20,513,114 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-03,우수,3.9,89.37209269,3.708333333,0.038514067,0.131235745,69.7131,"₩25,400,000 ","₩4,709,583 ","₩6,755,665 ","₩18,644,335 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-10,우수,3.98,91.69884554,3.688888889,0.038412961,0.052517174,69.3085,"₩25,400,000 ","₩4,684,889 ","₩6,759,472 ","₩18,640,528 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-05,우수,3.98,91.69884554,3.702777778,0.038485206,0.06947573,87.284,"₩25,400,000 ","₩4,702,528 ","₩5,387,617 ","₩20,012,383 "
기아 주식회사,A0110007300031221,EV6,2022,2021-09-28,정상,3.98,91.69884554,3.805555556,0.039015666,0.041180567,79.5717,"₩25,400,000 ","₩4,833,056 ","₩6,073,837 ","₩19,326,163 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-04,정상,3.98,91.69884554,3.705555556,0.038499639,0.145649276,92.943,"₩25,400,000 ","₩4,706,056 ","₩5,063,378 ","₩20,336,622 "
