구분,업체명,주소,사업자 번호,재무정보(매출액),신용등급정보
,한국전지연구조합,(06744) 서울 서초구 바우뫼로37길 37 8층,220-82-02874,x,x
,선광엘티아이,(08782) 서울 관악구 남부순환로 1702 송산빌딩 2층 중앙기술연구소,119-81-75838,x,x
,하나기술,(17118) 경기 용인시 처인구 남사읍 전나무골길2번길 56-7,124-86-07579,942억,B-
,주식회사 레플러스,(04997) 서울 광진구 능동로 279 실로암빌딩 5층,848-87-00096,x,x
,태산시스템,경기도 양주시 백석읍 권율로1253번길 7-34,666-88-03033,x,x
,(주) 어스텍,(57055) 전남 영광군 대마면 전기차로 40,760-86-00616,x,x
,동강대학교,(61200) 광주 북구 동문대로 50,409-82-01013,x,x
,엠에이치기술개발,(21990) 인천 연수구 송도미래로 30 D동 309호,791-87-00392,x,x
,주식회사 삼호인넷,(10090) 경기 김포시 태장로 741 경동미르웰시티 536호,888-86-00914,x,x
,굿바이카(주),(11414) 경기 양주시 광적면 삼일로 77-24,390-88-00430,x,x
,원광전력(주),(59046) 전남 해남군 해남읍 해남화산로 243,415-81-19511,x,x
,쌍용직업전문학교,(22136) 인천 미추홀구 석바위로53번길 8 2층,121-90-01030,x,x
